labels	wolfCorr	wolfPval	kyteCorr	kytePval	radzCorr	radzPval	moonCorr	moonPval	macCorr	macPval	wimCorr	wimPval	fauCorr	fauPval
Rose	0.61402869153018	0.0039761118428383	0.840974629946379	3.41597384889702e-06	0.804121712639131	3.33716731240052e-05	-0.704301118174193	3.33716731240052e-05	-0.318450894593215	0.212859266736499	0.430451614396299	0.0581516927743801	0.903957105700541	4.63965164065883e-08
Empirical Mean	0.680640036123623	0.000956443007053887	0.881194729261454	2.88780487744944e-07	0.850903940401465	3.88440381904331e-06	-0.752160763098565	3.88440381904331e-06	-0.285036296573988	0.267464067296893	0.472630512058417	0.0353431242404068	0.909928341212246	2.66258481929071e-08
Theoretical Mean	0.690941966261656	0.000742987387023719	0.885453013511476	2.11298443630881e-07	0.854834692623392	3.13901051507415e-06	-0.7609669354918	3.13901051507415e-06	-0.265052154506832	0.303886344983214	0.464112398255729	0.0392652700001146	0.906727701895278	3.60231424689772e-08
Empirical Median	0.708528990940177	0.000471343850917627	0.897562253477778	8.09114255595489e-08	0.869836850823786	1.31002809999892e-06	-0.752536326953073	1.31002809999892e-06	-0.290254283006386	0.258418054263761	0.480739679711426	0.0318995571002054	0.894831314255809	1.01481161696171e-07
Theoretical Median	0.715535065565538	0.000389637292706801	0.900948198527142	6.05558889699154e-08	0.873113847869409	1.06707539671014e-06	-0.759521001191168	1.06707539671014e-06	-0.27898942432334	0.278187699733695	0.475886185827642	0.0339274335078017	0.893731915718928	1.10977564915515e-07
Empirical Sqrt Mean	0.722758121199973	0.000318344268704251	0.912987863086941	1.97330833895393e-08	0.870983886560126	1.22003265801141e-06	-0.762621823556446	1.22003265801141e-06	-0.265998981764875	0.302097251903919	0.455834284998895	0.0433922206160415	0.903352268342991	4.89821778693056e-08
Theoretical Sqrt Mean	0.727851575125655	0.000275040568066709	0.914091593139258	1.76639360915942e-08	0.872004948205663	1.14448698740333e-06	-0.767040424756468	1.14448698740333e-06	-0.252075268679391	0.329038954764981	0.449885792661856	0.0465586208925344	0.900574632215629	6.25547991184305e-08
Empirical Box-Cox Mean	0.744250022311152	0.000167975332312054	0.94406471896367	4.15171896861466e-10	0.894296857152921	2.43412235700902e-07	-0.77462353986598	2.43412235700902e-07	-0.301022293910794	0.240358513281525	0.454977402271938	0.0438378013151621	0.900074675683157	6.5320637121502e-08
Theoretical Box-Cox Mean	0.745685310235377	0.000160603598244213	0.941069265183742	6.56650067654141e-10	0.892873321954391	2.7136613578449e-07	-0.774007522391595	2.7136613578449e-07	-0.287214325995336	0.26366479211009	0.452536064313904	0.0451266556702419	0.899152757500537	7.07037397518206e-08
100_Buried	0.826714120459279	7.00232006201063e-06	0.953151413710575	8.70645777695245e-11	0.844160259438805	5.52259184516402e-06	-0.678708166991728	5.52259184516402e-06	-0.116133385475877	0.657140204145703	0.322803461388011	0.165087524276663	0.733578604301146	0.000232452879680434
95_Buried	0.774977342953214	6.00156088323978e-05	0.949059601302551	1.82223125477776e-10	0.888057544494423	3.87732778328598e-07	-0.767991057169912	3.87732778328598e-07	-0.227112934315669	0.38069236516896	0.416452356683862	0.0677727163090007	0.877783785195957	3.67783344890071e-07
